date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:39:20	1547/1547	---M--	200	added ('OK')	image/png	etag:%2265dd8aba367f358115c0030180aabc1a%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/attack_b.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/attack_b.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:21	986/986	---M--	200	added ('OK')	image/png	etag:%22b845fac7067ddaba35279e8782a12817%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/pause_b.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/pause_b.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:21	980/980	---M--	200	added ('OK')	image/png	etag:%22a5c0b898e9d8ccdb6ba082ed32b7f566%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/close_b.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/close_b.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:21	1920/1920	---M--	200	added ('OK')	image/png	etag:%22c3563aa3530b0db4899518e49d7b8dbc%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/restart_b.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/restart_b.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:21	1236/1236	---M--	200	added ('OK')	image/png	etag:%221e1f4c8b9eeb3fafb0695e810eabe8a8%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/settings_but.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/settings_but.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:22	63537/63537	---M--	200	added ('OK')	image/png	etag:%224f1ef6c0b193579c567e8ba966b728fd%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/opening/kitty.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/opening/kitty.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:22	241/241	---M--	200	added ('OK')	image/png	etag:%22b131698e3792c1986d4057a63858c619%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/math_questions_box.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/math_questions_box.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:22	5462/5462	---M--	200	added ('OK')	image/png	etag:%229dbdeb12466270f2456ea6d9e799fde7%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/death.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/death.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:23	2221/2221	---M--	200	added ('OK')	image/png	etag:%226e3851ef99741b2bce2ced7ff4c8b3aa%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/candy.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/candy.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:23	5277/5277	---M--	200	added ('OK')	image/png	etag:%22ad10d00b767571578aba673c8baa53da%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/bat_anim.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/bat_anim.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:23	4426/4426	---M--	200	added ('OK')	image/png	etag:%22bbec8a288a2113f06c1d2dfa431804df%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/popup_02.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/popup_02.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
07:39:23	220/220	---M--	200	added ('OK')	image/png	etag:%22995f72fbd5b02bd55d8fe51f28d4bbe2%22	http://cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/transition.png	C:/My%20Web%20Sites/murcielagos/cdn.marketjs.net/games/math-vs-bat/localization/en/media/graphics/sprites/transition.png	(from http://smartfun.club/serve?portal_id=5763614147346432&game_id=5246798932213760&branding_id=5734046899372032&ad_id=4865470182195200&portal_localization_id=5092721263902720)
